id,player,from,to,position,height,weight,birth_date,colleges
zasloma01,Max Zaslofsky,1947,1956,G-F,188,170,1925-12-07,St. John's
zawolze01,Zeke Zawoluk,1953,1955,F-C,201,215,1930-10-13,St. John's
zelleco01,Cody Zeller,2014,2023,C-F,211,240,1992-10-05,Indiana
zelleda01,Dave Zeller,1962,1962,G,185,175,1939-06-08,Miami University
zellega01,Gary Zeller,1971,1972,G,190,205,1947-11-20,"University of North Texas, Long Beach City College, Drake University"
zelleha01,Harry Zeller,1947,1947,C-F,193,210,1919-07-10,Washington & Jefferson College
zellelu01,Luke Zeller,2013,2013,C,211,245,1987-04-07,Notre Dame
zellety01,Tyler Zeller,2013,2020,F-C,213,253,1990-01-17,UNC
zenoto01,Tony Zeno,1980,1980,F,203,210,1957-10-01,Arizona State
zevenph01,Phil Zevenbergen,1988,1988,C,208,230,1964-04-13,"Seattle Pacific University, Washington"
zhizhwa01,Wang Zhizhi,2001,2005,C,213,255,1977-07-08,
zidekge01,George Zídek,1996,1998,C,213,250,1973-08-02,UCLA
zimmede01,Derrick Zimmerman,2006,2006,G,190,195,1981-12-02,Mississippi State
zimmest01,Stephen Zimmerman,2017,2017,C,213,240,1996-09-09,UNLV
zipsepa01,Paul Zipser,2017,2018,G-F,203,215,1994-02-18,
zizican01,Ante Žižić,2018,2020,F-C,208,266,1997-01-04,
zoetji01,Jim Zoet,1983,1983,C,216,240,1953-12-20,Kent State University
zopfbi01,Bill Zopf,1971,1971,G,185,170,1948-06-07,Duquesne
zubaciv01,Ivica Zubac,2017,2023,C,213,240,1997-03-18,
zunicma01,Matt Zunic,1949,1949,G-F,190,195,1919-12-19,George Washington
