id,player,from,to,position,height,weight,birth_date,colleges
lacoufr01,Fred LaCour,1961,1963,G-F,196,210,1938-02-07,San Francisco
lafrera01,Raef LaFrentz,1999,2008,F-C,211,240,1976-05-29,Kansas
lagarto01,Tom LaGarde,1978,1985,C-F,208,220,1955-02-10,UNC
laravja01,Jake LaRavia,2023,2023,F,203,235,2001-11-03,"Indiana State University, Wake Forest"
larueru01,Rusty LaRue,1998,2004,G,188,210,1973-12-10,Wake Forest
larusru01,Rudy LaRusso,1960,1969,F-C,201,220,1937-11-11,Dartmouth College
lavinza01,Zach LaVine,2015,2023,G-F,196,200,1995-03-10,UCLA
labissk01,Skal Labissière,2017,2020,F,208,235,1996-03-18,Kentucky
lacefre01,Reggie Lacefield,1969,1969,G-F,196,230,1945-04-10,Western Michigan
laceyed01,Edgar Lacey,1969,1969,F,198,190,1944-08-02,UCLA
laceysa01,Sam Lacey,1971,1983,C,208,235,1948-03-28,New Mexico State
lackebo01,Bob Lackey,1973,1974,G-F,196,200,1949-04-04,", Marquette"
ladnewe01,Wendell Ladner,1971,1975,F,196,220,1948-10-06,Southern Miss
laettch01,Christian Laettner,1993,2005,F-C,211,235,1969-08-17,Duke
lafayol01,Oliver Lafayette,2010,2010,G,188,190,1984-05-06,Houston
laimbbi01,Bill Laimbeer,1981,1994,C,211,245,1957-05-19,Notre Dame
lalicpe01,Pete Lalich,1947,1947,F,188,190,1920-06-23,Ohio University
lamarbo01,Bo Lamar,1974,1977,G,185,180,1951-04-07,Louisiana
lamban01,Anthony Lamb,2021,2023,F,198,227,1998-01-20,University of Vermont
lambdo01,Doron Lamb,2013,2014,G,193,210,1991-11-06,Kentucky
lambje01,Jeremy Lamb,2013,2022,G-F,196,180,1992-05-30,UConn
lambejo01,John Lambert,1976,1982,C-F,208,225,1953-01-14,USC
lampje01,Jeff Lamp,1982,1989,F-G,198,195,1959-03-09,Virginia
lampema01,Maciej Lampe,2004,2006,C,211,275,1985-02-05,
lamplji01,Jim Lampley,1987,1987,C,208,230,1960-07-02,"Vanderbilt, Little Rock"
lamplse01,Sean Lampley,2003,2004,F,201,227,1979-09-03,California
landajo01,Jock Landale,2022,2023,C,211,256,1995-10-25,Saint Mary's
landrca01,Carl Landry,2008,2016,F,206,248,1983-09-19,"Vincennes University, Purdue"
landrma01,Marcus Landry,2010,2010,F,201,230,1985-11-01,Wisconsin
landsma01,Mark Landsberger,1978,1984,F-C,203,215,1955-05-21,"Minnesota, Arizona State"
laneje01,Jerome Lane,1989,1993,F,198,230,1966-12-04,Pitt
langan01,Andrew Lang,1989,2000,C,211,245,1966-06-28,Arkansas
langan02,Antonio Lang,1995,2000,F-G,203,205,1972-05-15,Duke
langja01,James Lang,2007,2007,C,208,285,1983-10-17,
langdtr01,Trajan Langdon,2000,2002,G,190,197,1976-05-13,Duke
langfke01,Keith Langford,2008,2008,G,193,215,1983-09-15,Kansas
langfro01,Romeo Langford,2020,2023,G,193,216,1999-10-25,Indiana
langhda01,Dan Langhi,2001,2004,F,211,220,1977-11-28,Vanderbilt
laniebo01,Bob Lanier,1971,1984,C,211,250,1948-09-10,St. Bonaventure
lantzst01,Stu Lantz,1969,1976,G,190,175,1946-07-13,Nebraska
laproni01,Nicolás Laprovíttola,2017,2017,G,193,180,1990-01-31,
laresyo01,York Larese,1962,1962,G,193,183,1938-07-18,UNC
larkish01,Shane Larkin,2014,2018,G,180,175,1992-10-02,Miami (FL)
laskojo01,John Laskowski,1976,1977,G,198,185,1953-06-07,Indiana
lasmest01,Stéphane Lasme,2008,2008,F,203,215,1982-12-17,UMass
lattida01,Dave Lattin,1968,1973,F-C,198,225,1943-12-23,Texas-El Paso
laudepr01,Priest Lauderdale,1997,1998,C,224,325,1973-08-31,Central State University
laureri01,Rich Laurel,1978,1978,G,198,190,1954-07-11,Hofstra
lauriha01,Harry Laurie,1971,1971,G,185,178,1944-11-02,"Loyola Chicago, Saint Peter's College"
lautewa01,Walt Lautenbach,1950,1950,G-F,188,185,1922-11-17,Wisconsin
lauvejo01,Joffrey Lauvergne,2015,2018,C-F,211,220,1991-09-30,
lavelto01,Tony Lavelli,1950,1951,F,190,185,1926-07-11,Yale
lavoybo01,Bob Lavoy,1951,1954,F-C,201,185,1926-06-29,"Illinois, Western Kentucky"
lawac01,Acie Law,2008,2011,G,190,195,1985-01-25,Texas A&M
lawvi01,Vic Law,2020,2020,F,201,200,1995-12-19,Northwestern
lawalga01,Gani Lawal,2011,2011,F,206,234,1988-11-07,Georgia Tech
lawreed01,Edmund Lawrence,1981,1981,C,213,228,1952-12-08,McNeese State University
lawsoaj01,A.J. Lawson,2023,2023,G,198,179,2000-07-15,South Carolina
lawsoja01,Jason Lawson,1998,1998,C,211,240,1974-09-02,Villanova
lawsoty01,Ty Lawson,2010,2017,G,180,195,1987-11-03,UNC
