id,player,from,to,position,height,weight,birth_date,colleges
hayesji01,Jim Hayes,1971,1971,G,190,200,1948-02-18,Boston University
hayeski01,Killian Hayes,2021,2023,G,196,195,2001-07-27,
hayesni01,Nigel Hayes,2018,2018,F,203,254,1994-12-16,Wisconsin
hayesst01,Steve Hayes,1982,1986,C,213,205,1955-08-02,Idaho State University
haywago01,Gordon Hayward,2011,2023,F-G,201,225,1990-03-23,Butler
haywala01,Lazar Hayward,2011,2013,F,198,225,1986-11-26,Marquette
haywobr01,Brendan Haywood,2002,2015,C,213,268,1979-11-27,UNC
haywosp01,Spencer Haywood,1970,1983,F-C,203,225,1949-04-22,"Trinidad State Junior College, Detroit Mercy"
hazenjo01,John Hazen,1949,1949,G,188,172,1927-03-02,Indiana State University
abdulma01,Walt Hazzard,1965,1974,G,188,185,1942-04-15,UCLA
headlu01,Luther Head,2006,2011,G,190,185,1982-11-26,Illinois
healsh01,Shane Heal,1997,2004,G,183,180,1970-09-06,
heanebr01,Brian Heaney,1970,1970,G,188,180,1946-09-03,Acadia University
heardga01,Gar Heard,1971,1981,F,198,219,1948-05-03,Oklahoma
hearnre01,Reggie Hearn,2018,2018,G,196,210,1991-08-14,Northwestern
heddehe01,Herm Hedderick,1955,1955,G,196,170,1930-01-10,Canisius
heggsal01,Alvin Heggs,1996,1996,F,203,225,1967-12-12,Texas
heinsto01,Tom Heinsohn,1957,1965,F-C,201,218,1934-08-26,Holy Cross
hemridi01,Dick Hemric,1956,1957,F,198,220,1933-08-29,Wake Forest
hendeal01,Alan Henderson,1996,2007,F,206,235,1972-12-02,Indiana
hendece01,Cedric Henderson,1987,1987,F,203,210,1965-10-03,Georgia
hendece02,Cedric Henderson,1998,2002,F,201,215,1975-03-11,Memphis
hendeda01,Dave Henderson,1988,1988,G,196,195,1964-07-21,Duke
hendege01,Gerald Henderson,1980,1992,G,188,175,1956-01-16,VCU
hendege02,Gerald Henderson,2010,2017,G,196,215,1987-12-09,Duke
hendejr01,J.R. Henderson,1999,1999,F,203,226,1976-10-30,UCLA
hendeje01,Jerome Henderson,1986,1987,C-F,211,230,1959-10-05,New Mexico
hendeke01,Kevin Henderson,1987,1988,G,193,195,1964-03-22,Cal State Fullerton
hendeto01,Tom Henderson,1975,1983,G,190,190,1952-01-26,Hawaii
hendrma01,Mark Hendrickson,1997,2000,F,206,220,1974-06-23,Washington State
hennela01,Larry Hennessy,1956,1957,G,190,185,1929-05-20,Villanova
henrido01,Don Henriksen,1953,1955,F-C,201,225,1929-10-10,California
henryaa01,Aaron Henry,2022,2022,F,198,210,1999-08-30,Michigan State
henryal01,Al Henry,1971,1972,C,206,190,1949-02-09,Wisconsin
henrybi01,Bill Henry,1949,1950,C,206,215,1924-12-27,Rice University
henryca01,Carl Henry,1986,1986,G,198,205,1960-08-16,"Oklahoma City University, Kansas"
henryco01,Conner Henry,1987,1988,G,201,195,1963-07-21,UC Santa Barbara
henrymy01,Myke Henry,2018,2018,F,198,210,1992-12-23,DePaul
henrysk01,Skeeter Henry,1994,1994,G,201,190,1967-12-08,"Midland College, Oklahoma"
henryxa01,Xavier Henry,2011,2015,G,198,220,1991-03-15,Kansas
hensojo01,John Henson,2013,2020,C-F,206,219,1990-12-28,UNC
hensost01,Steve Henson,1991,1999,G,180,177,1968-02-02,Kansas State
hentzch01,Charlie Hentz,1971,1971,F,196,210,1947-09-13,University of Arkansas at Pine Bluff
hermabi01,Bill Herman,1950,1950,G,190,170,1924-05-17,Mount Union College
hermskl01,Kleggie Hermsen,1947,1953,C-F,206,225,1923-03-12,Minnesota
hernade01,Dewan Hernandez,2020,2020,F,208,235,1996-12-09,Miami (FL)
hernaju01,Juancho Hernangómez,2017,2023,F,206,214,1995-09-28,
hernawi01,Willy Hernangómez,2017,2023,C,211,250,1994-05-27,
herrech01,Chris Herren,2000,2001,G,188,197,1975-09-27,"Boston College, Fresno State"
herreca01,Carl Herrera,1992,1999,F,206,215,1966-12-14,"Jacksonville College, Houston"
herrmwa01,Walter Herrmann,2007,2009,F,206,225,1979-06-26,
herroty01,Tyler Herro,2020,2023,G,196,195,2000-01-20,Kentucky
herroke01,Keith Herron,1979,1982,G-F,198,195,1956-06-14,Villanova
hertzso01,Sonny Hertzberg,1947,1951,G,178,175,1922-07-29,City College of New York
herveke01,Kevin Hervey,2020,2020,F,206,230,1996-07-09,UT Arlington
hesteda01,Dan Hester,1971,1971,F,203,210,1948-11-08,", LSU"
hetzefr01,Fred Hetzel,1966,1971,F-C,203,220,1942-07-21,Davidson
hewitbi01,Bill Hewitt,1969,1975,F,201,210,1944-08-08,USC
hewsoja01,Jack Hewson,1948,1948,F-C,198,195,1924-09-07,Temple
heymaar01,Art Heyman,1964,1970,F-G,196,205,1941-06-24,Duke
hezonma01,Mario Hezonja,2016,2020,F-G,203,220,1995-02-25,
hibbero01,Roy Hibbert,2009,2017,C,218,270,1986-12-11,Georgetown
hickena01,Nat Hickey,1948,1948,G-F,180,180,1902-01-30,
hicksis01,Isaiah Hicks,2018,2019,F,206,230,1994-07-24,UNC
hicksph01,Phil Hicks,1977,1979,F,201,205,1953-01-31,Tulane
hicksjj01,J.J. Hickson,2009,2016,F-C,206,242,1988-09-04,NC State
hieldbu01,Buddy Hield,2017,2023,G-F,193,220,1992-12-17,Oklahoma
higgibi01,Bill Higgins,1975,1975,G,188,180,1952-12-15,Ashland University
higgico01,Cory Higgins,2012,2013,G,196,180,1989-06-14,Colorado
higgiea01,Earle Higgins,1971,1971,F,203,195,1946-12-30,", Eastern Michigan"
higgimi01,Mike Higgins,1990,1991,F,206,220,1967-02-17,University of Northern Colorado
